t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.022000,0.087792,0.251554,0.000000,-0.987801,0.000000,0.000000,-0.155722,1.990606,-1.201828,0.000000,0.000000,0.000000,149.954174
0.022500,0.089783,0.250350,0.000000,-0.973369,0.000000,0.000000,-0.229243,1.990395,-1.206396,0.000000,0.000000,0.000000,149.953132
0.023000,0.091773,0.249141,0.000000,-0.953473,0.000000,0.000000,-0.301477,1.990184,-1.210964,0.000000,0.000000,0.000000,149.952091
0.023500,0.093763,0.247928,0.000000,-0.928226,0.000000,0.000000,-0.372018,1.989973,-1.215530,0.000000,0.000000,0.000000,149.951050
0.024000,0.095753,0.246710,0.000000,-0.897767,0.000000,0.000000,-0.440470,1.989762,-1.220096,0.000000,0.000000,0.000000,149.950008
0.024500,0.097743,0.245488,0.000000,-0.862270,0.000000,0.000000,-0.506449,1.989552,-1.224661,0.000000,0.000000,0.000000,149.948967
0.025000,0.099732,0.244261,0.000000,-0.821932,0.000000,0.000000,-0.569585,1.989341,-1.229225,0.000000,0.000000,0.000000,149.947926
0.025500,0.101722,0.243029,0.000000,-0.776982,0.000000,0.000000,-0.629523,1.989131,-1.233788,0.000000,0.000000,0.000000,149.946884
0.026000,0.103711,0.241793,0.000000,-0.727670,0.000000,0.000000,-0.685928,1.988921,-1.238351,0.000000,0.000000,0.000000,149.945843
0.026500,0.105699,0.240553,0.000000,-0.674274,0.000000,0.000000,-0.738481,1.988710,-1.242912,0.000000,0.000000,0.000000,149.944802
0.027000,0.107688,0.239307,0.000000,-0.617094,0.000000,0.000000,-0.786890,1.988500,-1.247473,0.000000,0.000000,0.000000,149.943760
0.027500,0.109676,0.238058,0.000000,-0.556450,0.000000,0.000000,-0.830881,1.988290,-1.252033,0.000000,0.000000,0.000000,149.942719
0.028000,0.111665,0.236803,0.000000,-0.492684,0.000000,0.000000,-0.870208,1.988080,-1.256592,0.000000,0.000000,0.000000,149.941678
0.028500,0.113653,0.235544,0.000000,-0.426153,0.000000,0.000000,-0.904651,1.987870,-1.261150,0.000000,0.000000,0.000000,149.940637
0.029000,0.115640,0.234281,0.000000,-0.357230,0.000000,0.000000,-0.934016,1.987661,-1.265707,0.000000,0.000000,0.000000,149.939595
0.029500,0.117628,0.233013,0.000000,-0.286303,0.000000,0.000000,-0.958139,1.987451,-1.270263,0.000000,0.000000,0.000000,149.938554
