t,x,y,E
2340.0,8.227811265181324e8,5.683676990090989e8,-3.337149998968748e34
2400.0,8.138729758175768e8,5.810524378001122e8,-3.33714999891691e34
2460.0,8.047692927830285e8,5.935975791842307e8,-3.337149998863935e34
2520.0,7.954722647230392e8,6.060001093143333e8,-3.3371499988098335e34
2580.0,7.859841253968815e8,6.18257048612757e8,-3.337149998754623e34
2640.0,7.763071544776286e8,6.303654524871751e8,-3.3371499986983123e34
2700.0,7.66443677004201e8,6.423224120380623e8,-3.3371499986409185e34
2760.0,7.56396062822513e8,6.54125054757575e8,-3.3371499985824497e34
2820.0,7.46166726015852e8,6.657705452196807e8,-3.3371499985229267e34
2880.0,7.357581243246305e8,6.772560857613688e8,-3.3371499984623577e34
2940.0,7.251727585556479e8,6.885789171547801e8,-3.337149998400762e34
3000.0,7.144131719810048e8,6.997363192700942e8,-3.3371499983381525e34
3060.0,7.034819497268165e8,7.107256117290127e8,-3.3371499982745445e34
3120.0,6.923817181518697e8,7.215441545486856e8,-3.3371499982099523e34
3180.0,6.81115144216374e8,7.321893487759215e8,-3.337149998144391e34
3240.0,6.696849348409609e8,7.426586371115333e8,-3.3371499980778796e34
3300.0,6.580938362560815e8,7.529495045246664e8,-3.3371499980104328e34
3360.0,6.46344633341963e8,7.630594788569635e8,-3.3371499979420627e34
3420.0,6.344401489592806e8,7.729861314164201e8,-3.3371499978727924e34
3480.0,6.223832432707059e8,7.827270775607891e8,-3.337149997802634e34
3540.0,6.101768130534973e8,7.922799772703933e8,-3.337149997731606e34
3600.0,5.97823791003295e8,8.016425357102079e8,-3.3371499976597246e34
3660.0,5.853271450292896e8,8.108125037810804e8,-3.337149997587007e34
3720.0,5.726898775409346e8,8.197876786599519e8,-3.3371499975134724e34
3780.0,5.599150247263721e8,8.285659043289543e8,-3.3371499974391376e34
3840.0,5.470056558227485e8,8.371450720932524e8,-3.3371499973640187e34
3900.0,5.3396487237859267e8,8.455231210875092e8,-3.3371499972881376e34
3960.0,5.2079580750843596e8,8.53698038770852e8,-3.337149997211508e34
4020.0,5.075016251398533e8,8.616678614102206e8,-3.3371499971341506e34
4080.0,4.940855192531056e8,8.694306745519814e8,-3.3371499970560845e34
4140.0,4.8055071311356723e8,8.769846134816945e8,-3.3371499969773284e34
4200.0,4.66900458497123e8,8.843278636719228e8,-3.3371499968979004e34
4260.0,4.5313803490872073e8,8.914586612179778e8,-3.3371499968178185e34
4320.0,4.392667487942678e8,8.983752932614939e8,-3.337149996737106e34
4380.0,4.252899327460607e8,9.050760984017338e8,-3.3371499966557777e34
4440.0,4.112109447019398e8,9.115594670945225e8,-3.3371499965738548e34
4500.0,3.970331671383602e8,9.178238420387176e8,-3.337149996491358e34
4560.0,3.827600062575746e8,9.238677185501208e8,-3.3371499964083054e34
4620.0,3.683948911691227e8,9.296896449227419e8,-3.337149996324719e34
4680.0,3.539412730658238e8,9.352882227773287e8,-3.337149996240617e34
4740.0,3.3940262439447147e8,9.4066210739708e8,-3.3371499961560212e34
4800.0,3.2478243802142906e8,9.458100080504591e8,-3.337149996070951e34
4860.0,3.100842263933274e8,9.507306883010337e8,-3.3371499959854258e34
4920.0,2.953115206930658e8,9.554229663042643e8,-3.337149995899468e34
4980.0,2.804678699913197e8,9.59885715091173e8,-3.337149995813096e34
5040.0,2.6555684039375886e8,9.641178628388239e8,-3.3371499957263343e34
5100.0,2.505820141841812e8,9.681183931275494e8,-3.3371499956392e34
5160.0,2.355469889637685e8,9.718863451848625e8,-3.337149995551717e34
5220.0,2.2045537678667018e8,9.75420814115995e8,-3.3371499954639045e34
5280.0,2.0531080329212382e8,9.787209511210083e8,-3.3371499953757835e34
5340.0,1.9011690683332068e8,9.817859636984228e8,-3.337149995287377e34
5400.0,1.7487733760322535e8,9.846151158353198e8,-3.337149995198704e34
5460.0,1.5959575675756034e8,9.87207728183868e8,-3.337149995109787e34
5520.0,1.4427583553516576e8,9.895631782242347e8,-3.3371499950206463e34
5580.0,1.2892125437594579e8,9.916809004138403e8,-3.337149994931307e34
5640.0,1.1353570203661403e8,9.935603863229234e8,-3.337149994841785e34
5700.0,9.812287470445004e7,9.95201184756382e8,-3.337149994752103e34
5760.0,8.268647510928026e7,9.966029018618625e8,-3.3371499946622865e34
5820.0,6.723021163389648e7,9.977652012240719e8,-3.337149994572353e34
5880.0,5.175779742312589e7,9.986878039452883e8,-3.3371499944823265e34
5940.0,3.627294949176656e7,9.993704887120539e8,-3.337149994392228e34
6000.0,2.077938783160282e7,9.998130918480318e8,-3.3371499943020787e34
6060.0,5280834.517715131,1.0000155073530163e9,-3.337149994211901e34
6120.0,-1.0218987185700953e7,9.999776869280864e8,-3.337149994121716e34
6180.0,-2.57163537197918e7,9.996996399868975e8,-3.3371499940315457e34
6240.0,-4.120754212556385e7,9.99181433653108e8,-3.3371499939414108e34
6300.0,-5.668883093824802e7,9.98423192743943e8,-3.3371499938513358e34
6360.0,-7.215650108129548e7,9.974250997398981e8,-3.3371499937613373e34
6420.0,-8.760683675979006e7,9.961873947405916e8,-3.3371499936714417e34
6480.0,-1.030361263530628e8,9.947103754067761e8,-3.3371499935816683e34
6540.0,-1.1844066330629398e8,9.929943968885226e8,-3.337149993492039e34
6600.0,-1.3381674702088886e8,9.910398717395967e8,-3.3371499934025763e34
6660.0,-1.4916068374341297e8,9.888472698180453e8,-3.3371499933132996e34
6720.0,-1.644687874528736e8,9.864171181730199e8,-3.3371499932242313e34
6780.0,-1.7973738074613428e8,9.837500009178636e8,-3.337149993135395e34
6840.0,-1.9496279572125015e8,9.808465590894917e8,-3.3371499930468082e34
6900.0,-2.1014137485851115e8,9.777074904941007e8,-3.337149992958496e34
6960.0,-2.252694718989824e8,9.743335495392426e8,-3.3371499928704753e34
7020.0,-2.403434527203304e8,9.707255470523064e8,-3.337149992782772e34
7080.0,-2.553596962097246e8,9.668843500854486e8,-3.337149992695406e34
7140.0,-2.703145951336054e8,9.628108817070216e8,-3.337149992608395e34
7200.0,-2.852045570041089e8,9.585061207795491e8,-3.3371499925217627e34
7260.0,-3.0002600494194114e8,9.539711017243035e8,-3.337149992435528e34
7320.0,-3.1477537853549445e8,9.492069142725406e8,-3.337149992349714e34
7380.0,-3.294491346959994e8,9.442147032034526e8,-3.3371499922643402e34
7440.0,-3.440437485085075e8,9.389956680689026e8,-3.3371499921794276e34
7500.0,-3.585557140785002e8,9.335510629050062e8,-3.337149992094997e34
7560.0,-3.72981545373921e8,9.278821959306304e8,-3.3371499920110655e34
7620.0,-3.8731777706242836e8,9.219904292328827e8,-3.337149991927656e34
7680.0,-4.0156096534366935e8,9.158771784396648e8,-3.337149991844789e34
7740.0,-4.157076887763728e8,9.095439123793719e8,-3.337149991762484e34
7800.0,-4.297545491000647e8,9.029921527278177e8,-3.3371499916807595e34
7860.0,-4.4369817205120856e8,8.962234736424708e8,-3.3371499915996363e34
7920.0,-4.575352081735742e8,8.892395013840913e8,-3.337149991519133e34
7980.0,-4.712623336226411e8,8.820419139258568e8,-3.3371499914392695e34
8040.0,-4.84876250963843e8,8.746324405500747e8,-3.337149991360065e34
8100.0,-4.983736899644626e8,8.670128614325743e8,-3.3371499912815388e34
8160.0,-5.117514083789858e8,8.591850072148823e8,-3.3371499912037096e34
8220.0,-5.25006192727728e8,8.511507585642824e8,-3.3371499911265953e34
8280.0,-5.381348590685441e8,8.429120457218653e8,-3.3371499910502157e34
8340.0,-5.51134253761439e8,8.344708480386777e8,-3.3371499909745886e34
8400.0,-5.640012542258933e8,8.258291935000831e8,-3.337149990899732e34
8460.0,-5.767327696907245e8,8.169891582384467e8,-3.337149990825662e34
8520.0,-5.893257419363018e8,8.079528660342635e8,-3.337149990752401e34
8580.0,-6.017771460289379e8,7.987224878058484e8,-3.3371499906799628e34
8640.0,-6.140839910472813e8,7.893002410877113e8,-3.3371499906083654e34
8700.0,-6.262433208005344e8,7.796883894977432e8,-3.337149990537627e34
8760.0,-6.38252214538326e8,7.6988924219334e8,-3.3371499904677643e34
8820.0,-6.501077876520672e8,7.59905153316596e8,-3.337149990398794e34
8880.0,-6.618071923676225e8,7.497385214287012e8,-3.3371499903307318e34
8940.0,-6.733476184291312e8,7.393917889336745e8,-3.3371499902635944e34
9000.0,-6.84726293773813e8,7.288674414915766e8,-3.337149990197399e34
9060.0,-6.959404851975986e8,7.181680074213398e8,-3.3371499901321613e34
9120.0,-7.069874990114226e8,7.072960570933592e8,-3.3371499900678975e34
9180.0,-7.178646816880246e8,6.962542023119922e8,-3.3371499900046215e34
9240.0,-7.285694204991008e8,6.850450956881126e8,-3.3371499899423485e34
9300.0,-7.390991441426547e8,6.736714300018729e8,-3.337149989881094e34
9360.0,-7.494513233603961e8,6.621359375558251e8,-3.337149989820872e34
9420.0,-7.59623471545041e8,6.504413895185571e8,-3.3371499897616986e34
9480.0,-7.696131453373646e8,6.385905952590011e8,-3.3371499897035854e34
9540.0,-7.794179452128681e8,6.265864016715763e8,-3.3371499896465503e34
9600.0,-7.890355160579152e8,6.144316924923241e8,-3.337149989590605e34
9660.0,-7.984635477352012e8,6.021293876062042e8,-3.337149989535761e34
9720.0,-8.076997756384202e8,5.896824423457142e8,-3.3371499894820344e34
9780.0,-8.167419812359961e8,5.770938467810049e8,-3.3371499894294354e34
9840.0,-8.255879926037478e8,5.643666250016578e8,-3.3371499893779814e34
9900.0,-8.34235684946361e8,5.515038343903008e8,-3.337149989327677e34
9960.0,-8.426829811075406e8,5.385085648882335e8,-3.3371499892785415e34
10020.0,-8.509278520687233e8,5.253839382532414e8,-3.337149989230584e34
10080.0,-8.589683174362285e8,5.1213310730977434e8,-3.3371499891838147e34
10140.0,-8.668024459167327e8,4.9875925519167113e8,-3.337149989138246e34
