t,x1,x2,p1,p2,Ptot,E,Erel
0.74,9.929552453370447e-2,1.000704475466297,-3.7412899934131286e-2,3.7412899934131286e-2,0.0,5.000069986254104e-2,1.3997250819103278e-5
0.75,9.887228707432913e-2,1.0011277129256724,-4.72345919409379e-2,4.72345919409379e-2,0.0,5.0001115553338235e-2,2.2311066762981076e-5
0.76,9.835130504080514e-2,1.0016486949591963,-5.6961814763862646e-2,5.6961814763862646e-2,0.0,5.000162232417099e-2,3.244648341810258e-5
0.77,9.773362039719953e-2,1.0022663796028017,-6.657511395725968e-2,6.657511395725968e-2,0.0,5.0002216122899804e-2,4.432245799435012e-5
0.78,9.702046851279952e-2,1.0029795314872016,-7.60552629227422e-2,7.60552629227422e-2,0.0,5.00028922015098e-2,5.7844030194320504e-5
0.79,9.621327569137392e-2,1.0037867243086271,-8.538330136237926e-2,8.538330136237926e-2,0.0,5.000364515407655e-2,7.290308152926849e-5
0.8,9.531365631856556e-2,1.0046863436814355,-9.454057319929157e-2,9.454057319929157e-2,0.0,5.000446895999121e-2,8.937919982243677e-5
0.81,9.432340963312007e-2,1.0056765903668812,-0.10350876388980529,0.10350876388980529,0.0,5.000535703210154e-2,1.0714064202901866e-4
0.8200000000000001,9.324451612840834e-2,1.006755483871593,-0.11226993705253936,0.11226993705253936,0.0,5.00063022693833e-2,1.2604538766433616e-4
0.8300000000000001,9.207913359143981e-2,1.0079208664085617,-0.12080657034116835,0.12080657034116835,0.0,5.000729711371915e-2,1.4594227438130523e-4
0.84,9.08295927872884e-2,1.0091704072127132,-0.129101590489115,0.129101590489115,0.0,5.000833361033369e-2,1.666722066720469e-4
0.85,8.949839279756241e-2,1.0105016072024393,-0.13713840745608338,0.13713840745608338,0.0,5.000940347140001e-2,1.880694279984826e-4
0.86,8.80881960222413e-2,1.0119118039777604,-0.14490094760813962,0.14490094760813962,0.0,5.001049814230909e-2,2.0996284618005032e-4
0.87,8.66018228548757e-2,1.013398177145126,-0.1523736858649796,0.1523736858649796,0.0,5.001160887007233e-2,2.3217740144493252e-4
0.88,8.504224604180037e-2,1.0149577539582013,-0.1595416767500896,0.1595416767500896,0.0,5.001272677331034e-2,2.545354662050743e-4
0.89,8.341258473664143e-2,1.0165874152633603,-0.16639058428169942,0.16639058428169942,0.0,5.001384291326902e-2,2.7685826537865395e-4
0.9,8.171609826200919e-2,1.0182839017379925,-0.17290671064474583,0.17290671064474583,0.0,5.0014948365293216e-2,2.9896730586259586e-4
0.91,7.995617959085295e-2,1.0200438204091489,-0.17907702358650274,0.17907702358650274,0.0,5.001603429018849e-2,3.2068580376812207e-4
0.92,7.8136348560515e-2,1.0218636514394868,-0.18488918248108666,0.18488918248108666,0.0,5.0017092004899455e-2,3.4184009798737754e-4
0.93,7.626024483305602e-2,1.0237397551669456,-0.1903315630107084,0.1903315630107084,0.0,5.001811305193933e-2,3.62261038784894e-4
0.9400000000000001,7.433162061593093e-2,1.0256683793840706,-0.19539328041430873,0.19539328041430873,0.0,5.0019089267015815e-2,3.81785340314577e-4
0.9500000000000001,7.235433315757399e-2,1.0276456668424276,-0.20006421125708046,0.20006421125708046,0.0,5.002001284431323e-2,4.0025688626293894e-4
0.96,7.03323370329019e-2,1.0296676629670998,-0.204335013677338,0.204335013677338,0.0,5.0020876398907496e-2,4.175279781482015e-4
0.97,6.826967623416401e-2,1.0317303237658377,-0.20819714607024087,0.20819714607024087,0.0,5.002167302581612e-2,4.3346051632073203e-4
0.98,6.617047608295779e-2,1.033829523917044,-0.21164288417100324,0.21164288417100324,0.0,5.002239635521029e-2,4.4792710420404815e-4
0.99,6.403893497958565e-2,1.0359610650204163,-0.2146653365034236,0.2146653365034236,0.0,5.0023040603348216e-2,4.608120669626062e-4
1.0,6.1879316006254355e-2,1.0381206839937476,-0.2172584581628371,0.2172584581628371,0.0,5.002360061882181e-2,4.7201237643443224e-4
1.01,5.9695938400910545e-2,1.0403040615990913,-0.21941706290592494,0.21941706290592494,0.0,5.002407192374731e-2,4.814384749445003e-4
1.02,5.7493168918764916e-2,1.0425068310812369,-0.22113683352320096,0.22113683352320096,0.0,5.0024450749570515e-2,4.890149914085753e-4
1.03,5.5275413098781756e-2,1.04472458690122,-0.22241433047343057,0.22241433047343057,0.0,5.002473406720016e-2,4.946813440015454e-4
1.04,5.304710645260104e-2,1.0469528935474008,-0.2232469987627133,0.2232469987627133,0.0,5.002491961122846e-2,4.983922245674335e-4
1.05,5.081270559351512e-2,1.0491872944064868,-0.2236331730544706,0.2236331730544706,0.0,5.0025005898045385e-2,5.001179609059872e-4
1.06,4.8576679323242174e-2,1.0514233206767598,-0.22357208100011897,0.22357208100011897,0.0,5.0024992237701536e-2,4.998447540290043e-4
1.07,4.634349969432274e-2,1.0536565003056793,-0.2230638447837671,0.2230638447837671,0.0,5.002487873942503e-2,4.975747884988771e-4
1.08,4.411763306601466e-2,1.0558823669339874,-0.22210948087784768,0.22210948087784768,0.0,5.00246663107481e-2,4.933262149603426e-4
1.09,4.190353117157456e-2,1.0580964688284276,-0.22071089801017255,0.22071089801017255,0.0,5.0024356650250436e-2,4.871330050069947e-4
1.1,3.970562221479131e-2,1.0602943777852107,-0.21887089334647708,0.21887089334647708,0.0,5.002395223397732e-2,4.790446795446815e-4
1.11,3.7528302013578485e-2,1.0624716979864235,-0.21659314689608866,0.21659314689608866,0.0,5.0023456295641366e-2,4.6912591282560675e-4
1.12,3.53759252083385e-2,1.0646240747916635,-0.21388221415190806,0.21388221415190806,0.0,5.002287280076543e-2,4.5745601530686105e-4
1.1300000000000001,3.325279655268184e-2,1.0667472034473202,-0.21074351697942362,0.21074351697942362,0.0,5.0022206414974596e-2,4.4412829949019774e-4
1.1400000000000001,3.1163162303919818e-2,1.0688368376960822,-0.20718333277298034,0.20718333277298034,0.0,5.002146246668958e-2,4.2924933378984877e-4
1.1500000000000001,2.911120173054996e-2,1.0708887982694522,-0.20320878190099112,0.20320878190099112,0.0,5.002064690452105e-2,4.1293809041928405e-4
1.16,2.7101018753719005e-2,1.0728989812462832,-0.1988278134651999,0.1988278134651999,0.0,5.0019766249703904e-2,3.9532499407635076e-4
1.17,2.5136633739380614e-2,1.0748633662606217,-0.19404918940247828,0.19404918940247828,0.0,5.00188275439542e-2,3.765508790823373e-4
1.18,2.3221975457563465e-2,1.076778024542439,-0.18888246696095168,0.18888246696095168,0.0,5.001783829316293e-2,3.5676586325694644e-4
1.19,2.136087322483119e-2,1.0786391267751714,-0.18333797958550319,0.18333797958550319,0.0,5.0016806407379696e-2,3.3612814759220673e-4
1.2,1.9557049245649258e-2,1.0804429507543534,-0.17742681625088366,0.17742681625088366,0.0,5.0015740137562985e-2,3.1480275125797487e-4
1.21,1.781411116797603e-2,1.0821858888320266,-0.17116079928376235,0.17116079928376235,0.0,5.001464800960624e-2,2.929601921231035e-4
1.22,1.613554486796685e-2,1.0838644551320358,-0.16455246071807353,0.16455246071807353,0.0,5.00135387561647e-2,2.7077512329221016e-4
1.23,1.452470747822174e-2,1.0854752925217808,-0.15761501723094856,0.15761501723094856,0.0,5.0012421246828705e-2,2.4842493657237187e-4
1.24,1.2984820673520189e-2,1.0870151793264822,-0.15036234370936172,0.15036234370936172,0.0,5.001130441720318e-2,2.2608834406190288e-4
1.25,1.1518964227471598e-2,1.0884810357725307,-0.14280894550035617,0.14280894550035617,0.0,5.0010197197457744e-2,2.039439491531566e-4
1.26,1.0130069852968068e-2,1.0898699301470343,-0.13496992940034988,0.13496992940034988,0.0,5.000910844092142e-2,1.8216881842669753e-4
1.27,8.820915338758605e-3,1.0911790846612437,-0.12686097344154293,0.12686097344154293,0.0,5.0008046853291466e-2,1.60937065827593e-4
1.28,7.594118993871626e-3,1.0924058810061308,-0.11849829553585288,0.11849829553585288,0.0,5.0007020923022845e-2,1.40418460455177e-4
1.29,6.452134410996906e-3,1.0935478655890056,-0.10989862103909111,0.10989862103909111,0.0,5.0006038853453574e-2,1.2077706906976606e-4
1.3,5.397245559300195e-3,1.0946027544407024,-0.10107914930025114,0.10107914930025114,0.0,5.000510849721221e-2,1.0216994424244712e-4
1.31,4.4315622164848864e-3,1.0955684377835178,-9.205751926281067e-2,9.205751926281067e-2,0.0,5.000423729342682e-2,8.474586853463014e-5
1.32,3.5570157492366104e-3,1.096442984250766,-8.285177418684457e-2,8.285177418684457e-2,0.0,5.0003432208243354e-2,6.864416486535007e-5
1.33,2.7753552504898634e-3,1.0972246447495126,-7.34803255625048e-2,7.34803255625048e-2,0.0,5.000269967912275e-2,5.399358245325438e-5
1.34,2.088144041242139e-3,1.0979118559587604,-6.396191628704001e-2,6.396191628704001e-2,0.0,5.000204556336797e-2,4.091126735772381e-5
1.35,1.4967565439119334e-3,1.0985032434560906,-5.431558317900115e-2,5.431558317900115e-2,0.0,5.000147509128851e-2,2.9501825768440908e-5
1.36,1.0023755334939064e-3,1.0989976244665087,-4.456061890460426e-2,4.456061890460426e-2,0.0,5.0000992824379184e-2,1.9856487581959536e-5
1.37,6.059897720088942e-4,1.0993940102279938,-3.4716533392398184e-2,3.4716533392398184e-2,0.0,5.0000602618845834e-2,1.2052376914956066e-5
1.3800000000000001,3.083920309798668e-4,1.0996916079690229,-2.4803014813407305e-2,2.4803014813407305e-2,0.0,5.0000307594772524e-2,6.15189544875271e-6
1.3900000000000001,1.1017750588888235e-4,1.099889822494114,-1.483989020478958e-2,1.483989020478958e-2,0.0,5.00001101111714e-2,2.2022234262564184e-6
1.4000000000000001,1.1742625786123144e-5,1.0999882573742168,-4.847085815762259e-3,4.847085815762259e-3,0.0,5.000001174712118e-2,2.349424219061365e-7
1.41,1.328426043179467e-5,1.099986715739571,5.155412744896564e-3,-5.155412744896564e-3,0.0,5.0000013289140915e-2,2.6578281658862176e-7
1.42,1.147993265566055e-4,1.0998852006734463,1.5147600480065599e-2,-1.5147600480065599e-2,0.0,5.0000114724900874e-2,2.2944980157535395e-6
1.43,3.1608479402830595e-4,1.0996839152059745,2.5109493014274495e-2,-2.5109493014274495e-2,0.0,5.00003152433205e-2,6.30486640826321e-6
1.44,6.167380919119526e-4,1.0993832619080908,3.502116656245484e-2,-3.502116656245484e-2,0.0,5.000061324105426e-2,1.226482108346303e-5
1.45,1.016157913611778e-3,1.0989838420863909,4.4862797777510253e-2,-4.4862797777510253e-2,0.0,5.000100633531265e-2,2.012670625134435e-5
1.46,1.5135454194843826e-3,1.0984864545805182,5.461470339701065e-2,-5.461470339701065e-2,0.0,5.0001491382914064e-2,2.9827658279551976e-5
1.47,2.107905834518021e-3,1.0978920941654844,6.4257379609717e-2,-6.4257379609717e-2,0.0,5.000206450541754e-2,4.129010834907902e-5
1.48,2.798050437882626e-3,1.0972019495621197,7.377154106320391e-2,-7.377154106320391e-2,0.0,5.000272112013564e-2,5.442240271102951e-5
1.49,3.582598940371467e-3,1.0964174010596308,8.313815943456442e-2,-8.313815943456442e-2,0.0,5.0003455976777224e-2,6.911953554275528e-5
1.5,4.459982244979568e-3,1.0955400177550227,9.233850148705577e-2,-9.233850148705577e-2,0.0,5.0004263199428634e-2,8.526398857094926e-5
1.51,5.428445585097713e-3,1.0945715544149046,0.10135416653657305,-0.10135416653657305,0.0,5.0005136333537384e-2,1.0272667074595603e-4
1.52,6.486052034045665e-3,1.0935139479659566,0.11016712325301715,-0.11016712325301715,0.0,5.0006068397522994e-2,1.2136795045816752e-4
1.53,7.630686378925526e-3,1.0923693136210766,0.11875974572295521,-0.11875974572295521,0.0,5.000705193860213e-2,1.4103877204088542e-4
1.54,8.860059351047538e-3,1.0911399406489546,0.12711484870144735,-0.12711484870144735,0.0,5.000807909238025e-2,1.6158184760334233e-4
1.55,1.0171712204467458e-2,1.0898282877955348,0.13521572198253662,-0.13521572198253662,0.0,5.000914164573565e-2,1.8283291471132802e-4
1.56,1.1563021633478445e-2,1.0884369783665238,0.14304616381966082,-0.14304616381966082,0.0,5.001023110249177e-2,2.046220498336245e-4
1.57,1.3031205019222477e-2,1.0869687949807798,0.15059051332914566,-0.15059051332914566,0.0,5.0011338751352497e-2,2.2677502704820902e-4
1.58,1.4573325994928065e-2,1.0854266740050742,0.15783368181197227,-0.15783368181197227,0.0,5.0012455735557265e-2,2.4911471114358276e-4
1.59,1.6186300318643803e-2,1.0838136996813583,0.16476118293117492,-0.16476118293117492,0.0,5.0013573123700514e-2,2.7146247400855423e-4
1.6,1.7866902041722255e-2,1.0821330979582797,0.1713591616845152,-0.1713591616845152,0.0,5.0014681981146634e-2,2.936396229309685e-4
1.61,1.9611769960717264e-2,1.0803882300392846,0.17761442211448641,-0.17761442211448641,0.0,5.001577344147145e-2,3.1546882942726175e-4
1.62,2.141741433979084e-2,1.0785825856602111,0.18351445370022867,-0.18351445370022867,0.0,5.001683877735834e-2,3.367755471650463e-4
1.6300000000000001,2.3280223890184835e-2,1.0767197761098173,0.18904745637857048,-0.18904745637857048,0.0,5.001786947038164e-2,3.573894076311362e-4
