time,posX,posY,posZ,oriW,oriX,oriY,oriZ,velX,velY,velZ,angX,angY,angZ
0.038000,0.000000,0.092731,0.000000,0.581844,0.813300,0.000000,0.000000,0.000000,-0.372780,0.000000,50.000000,0.000000,0.000000
0.039000,0.000000,0.092348,0.000000,0.561336,0.827588,0.000000,0.000000,0.000000,-0.382590,0.000000,50.000000,0.000000,0.000000
0.040000,0.000000,0.091956,0.000000,0.540478,0.841358,0.000000,0.000000,0.000000,-0.392400,0.000000,50.000000,0.000000,0.000000
0.041000,0.000000,0.091554,0.000000,0.519281,0.854603,0.000000,0.000000,0.000000,-0.402210,0.000000,50.000000,0.000000,0.000000
0.042000,0.000000,0.091142,0.000000,0.497761,0.867314,0.000000,0.000000,0.000000,-0.412020,0.000000,50.000000,0.000000,0.000000
0.043000,0.000000,0.090720,0.000000,0.475929,0.879484,0.000000,0.000000,0.000000,-0.421830,0.000000,50.000000,0.000000,0.000000
0.044000,0.000000,0.090288,0.000000,0.453800,0.891103,0.000000,0.000000,0.000000,-0.431640,0.000000,50.000000,0.000000,0.000000
0.045000,0.000000,0.089847,0.000000,0.431388,0.902167,0.000000,0.000000,0.000000,-0.441450,0.000000,50.000000,0.000000,0.000000
0.046000,0.000000,0.089395,0.000000,0.408706,0.912666,0.000000,0.000000,0.000000,-0.451260,0.000000,50.000000,0.000000,0.000000
0.047000,0.000000,0.088934,0.000000,0.385769,0.922595,0.000000,0.000000,0.000000,-0.461070,0.000000,50.000000,0.000000,0.000000
0.048000,0.000000,0.088463,0.000000,0.362591,0.931949,0.000000,0.000000,0.000000,-0.470880,0.000000,50.000000,0.000000,0.000000
0.049000,0.000000,0.087983,0.000000,0.339186,0.940719,0.000000,0.000000,0.000000,-0.480690,0.000000,50.000000,0.000000,0.000000
0.050000,0.000000,0.087492,0.000000,0.315569,0.948903,0.000000,0.000000,0.000000,-0.490500,0.000000,50.000000,0.000000,0.000000
0.051000,0.000000,0.086992,0.000000,0.291756,0.956493,0.000000,0.000000,0.000000,-0.500310,0.000000,50.000000,0.000000,0.000000
0.052000,0.000000,0.086482,0.000000,0.267760,0.963486,0.000000,0.000000,0.000000,-0.510120,0.000000,50.000000,0.000000,0.000000
0.053000,0.000000,0.085962,0.000000,0.243596,0.969877,0.000000,0.000000,0.000000,-0.519930,0.000000,50.000000,0.000000,0.000000
0.054000,0.000000,0.085432,0.000000,0.219281,0.975662,0.000000,0.000000,0.000000,-0.529740,0.000000,50.000000,0.000000,0.000000
0.055000,0.000000,0.084893,0.000000,0.194829,0.980837,0.000000,0.000000,0.000000,-0.539550,0.000000,50.000000,0.000000,0.000000
0.056000,0.000000,0.084343,0.000000,0.170254,0.985400,0.000000,0.000000,0.000000,-0.549360,0.000000,50.000000,0.000000,0.000000
0.057000,0.000000,0.083784,0.000000,0.145574,0.989347,0.000000,0.000000,0.000000,-0.559170,0.000000,50.000000,0.000000,0.000000
0.058000,0.000000,0.083215,0.000000,0.120803,0.992677,0.000000,0.000000,0.000000,-0.568980,0.000000,50.000000,0.000000,0.000000
0.059000,0.000000,0.082636,0.000000,0.095956,0.995386,0.000000,0.000000,0.000000,-0.578790,0.000000,50.000000,0.000000,0.000000
