t,θ1,ω1,θ2,ω2
1.0200,-0.270265,-0.618055,-1.056802,-2.473605
1.0300,-0.276617,-0.651806,-1.080974,-2.361093
1.0400,-0.283290,-0.682250,-1.104028,-2.249830
1.0500,-0.290251,-0.709454,-1.125975,-2.139776
1.0600,-0.297469,-0.733502,-1.146827,-2.030890
1.0700,-0.304911,-0.754488,-1.166596,-1.923133
1.0800,-0.312549,-0.772513,-1.185294,-1.816469
1.0900,-0.320352,-0.787687,-1.202929,-1.710865
1.1000,-0.328293,-0.800122,-1.219514,-1.606290
1.1100,-0.336346,-0.809939,-1.235059,-1.502719
1.1200,-0.344484,-0.817259,-1.249572,-1.400126
1.1300,-0.352683,-0.822205,-1.263064,-1.298492
1.1400,-0.360920,-0.824903,-1.275545,-1.197796
1.1500,-0.369174,-0.825481,-1.287023,-1.098020
1.1600,-0.377423,-0.824065,-1.297508,-0.999147
1.1700,-0.385649,-0.820784,-1.307009,-0.901160
1.1800,-0.393833,-0.815764,-1.315534,-0.804043
1.1900,-0.401959,-0.809133,-1.323093,-0.707777
1.2000,-0.410011,-0.801016,-1.329693,-0.612345
1.2100,-0.417975,-0.791538,-1.335342,-0.517727
1.2200,-0.425837,-0.780821,-1.340050,-0.423903
1.2300,-0.433587,-0.768988,-1.343823,-0.330851
1.2400,-0.441214,-0.756157,-1.346669,-0.238545
1.2500,-0.448707,-0.742447,-1.348596,-0.146961
1.2600,-0.456060,-0.727972,-1.349611,-0.056071
1.2700,-0.463265,-0.712844,-1.349720,0.034155
1.2800,-0.470315,-0.697175,-1.348930,0.123748
1.2900,-0.477207,-0.681070,-1.347247,0.212740
1.3000,-0.483936,-0.664635,-1.344677,0.301165
1.3100,-0.490499,-0.647971,-1.341226,0.389059
1.3200,-0.496895,-0.631175,-1.336898,0.476456
1.3300,-0.503122,-0.614341,-1.331698,0.563394
1.3400,-0.509182,-0.597559,-1.325631,0.649908
1.3500,-0.515074,-0.580915,-1.318701,0.736034
1.3600,-0.520801,-0.564490,-1.310912,0.821805
1.3700,-0.526365,-0.548360,-1.302266,0.907254
1.3800,-0.531769,-0.532593,-1.292768,0.992411
1.3900,-0.537018,-0.517253,-1.282419,1.077300
1.4000,-0.542116,-0.502396,-1.271222,1.161942
1.4100,-0.547067,-0.488068,-1.259181,1.246352
1.4200,-0.551879,-0.474308,-1.246296,1.330537
1.4300,-0.556556,-0.461142,-1.232571,1.414493
1.4400,-0.561104,-0.448583,-1.218007,1.498207
1.4500,-0.565529,-0.436633,-1.202607,1.581650
1.4600,-0.569838,-0.425275,-1.186375,1.664779
1.4700,-0.574037,-0.414474,-1.169313,1.747530
1.4800,-0.578130,-0.404175,-1.151426,1.829819
1.4900,-0.582122,-0.394299,-1.132719,1.911535
1.5000,-0.586017,-0.384740,-1.113198,1.992538
1.5100,-0.589817,-0.375365,-1.092871,2.072655
1.5200,-0.593524,-0.366007,-1.071748,2.151677
1.5300,-0.597137,-0.356467,-1.049842,2.229356
1.5400,-0.600652,-0.346507,-1.027167,2.305398
1.5500,-0.604064,-0.335855,-1.003740,2.379468
1.5600,-0.607366,-0.324199,-0.979585,2.451185
1.5700,-0.610544,-0.311193,-0.954726,2.520122
1.5800,-0.613584,-0.296458,-0.929193,2.585816
1.5900,-0.616466,-0.279589,-0.903022,2.647769
1.6000,-0.619167,-0.260165,-0.876252,2.705463
1.6100,-0.621659,-0.237759,-0.848929,2.758369
1.6200,-0.623911,-0.211952,-0.821103,2.805970
1.6300,-0.625886,-0.182349,-0.792829,2.847773
1.6400,-0.627544,-0.148594,-0.764168,2.883335
1.6500,-0.628843,-0.110392,-0.735184,2.912280
1.6600,-0.629736,-0.067514,-0.705945,2.934316
1.6700,-0.630177,-0.019820,-0.676522,2.949250
1.6800,-0.630116,0.032744,-0.646984,2.956994
1.6900,-0.629506,0.090138,-0.617406,2.957569
1.7000,-0.628298,0.152236,-0.587856,2.951092
1.7100,-0.626446,0.218828,-0.558407,2.937775
1.7200,-0.623907,0.289637,-0.529123,2.917900
1.7300,-0.620641,0.364331,-0.500069,2.891806
1.7400,-0.616609,0.442538,-0.471306,2.859866
1.7500,-0.611779,0.523862,-0.442890,2.822471
1.7600,-0.606123,0.607896,-0.414874,2.780015
1.7700,-0.599614,0.694231,-0.387305,2.732879
1.7800,-0.592232,0.782470,-0.360230,2.681422
1.7900,-0.583959,0.872231,-0.333690,2.625976
1.8000,-0.574783,0.963154,-0.307723,2.566843
1.8100,-0.564694,1.054900,-0.282365,2.504294
1.8200,-0.553684,1.147156,-0.257648,2.438571
1.8300,-0.541750,1.239633,-0.233603,2.369892
1.8400,-0.528891,1.332062,-0.210259,2.298452
1.8500,-0.515109,1.424197,-0.187643,2.224433
1.8600,-0.500409,1.515809,-0.165779,2.148007
1.8700,-0.484796,1.606685,-0.144690,2.069344
1.8800,-0.468278,1.696622,-0.124399,1.988615
1.8900,-0.450867,1.785427,-0.104924,1.906004
1.9000,-0.432574,1.872913,-0.086284,1.821709
1.9100,-0.413414,1.958894,-0.068495,1.735951
1.9200,-0.393402,2.043181,-0.051569,1.648978
1.9300,-0.372556,2.125579,-0.035518,1.561073
1.9400,-0.350897,2.205885,-0.020350,1.472561
1.9500,-0.328446,2.283879,-0.006068,1.383809
1.9600,-0.305228,2.359324,0.007327,1.295236
1.9700,-0.281269,2.431958,0.019839,1.207315
1.9800,-0.256599,2.501497,0.031477,1.120576
1.9900,-0.231251,2.567623,0.042256,1.035610
2.0000,-0.205259,2.629994,0.052197,0.953061
2.0100,-0.178665,2.688233,0.061328,0.873632
2.0200,-0.151510,2.741937,0.069683,0.798068
2.0300,-0.123842,2.790683,0.077305,0.727152
2.0400,-0.095714,2.834031,0.084244,0.661683
2.0500,-0.067181,2.871540,0.090559,0.602458
2.0600,-0.038304,2.902782,0.096317,0.550247
2.0700,-0.009148,2.927357,0.101590,0.505760
2.0800,0.020219,2.944914,0.106460,0.469618
2.0900,0.049726,2.955169,0.111012,0.442326
2.1000,0.079298,2.957921,0.115337,0.424244
2.1100,0.108859,2.953065,0.119528,0.415563
