0.000: pos=(0.000,0.000,0.000)  ori=(1.000,0.000,0.000,0.000)
0.020: pos=(0.020,0.000,0.000)  ori=(1.000,0.000,0.010,0.000)
0.040: pos=(0.040,-0.004,0.000)  ori=(1.000,0.000,0.020,0.000)
0.060: pos=(0.060,-0.012,0.000)  ori=(1.000,0.000,0.030,0.000)
0.080: pos=(0.079,-0.023,0.000)  ori=(0.999,0.000,0.040,0.000)
0.100: pos=(0.099,-0.039,0.000)  ori=(0.999,0.000,0.050,0.000)
0.120: pos=(0.119,-0.058,0.000)  ori=(0.998,0.000,0.060,0.000)
0.140: pos=(0.138,-0.082,0.000)  ori=(0.998,0.000,0.070,0.000)
0.160: pos=(0.157,-0.109,0.000)  ori=(0.997,0.000,0.080,0.000)
0.180: pos=(0.176,-0.140,0.000)  ori=(0.996,0.000,0.090,0.000)
0.200: pos=(0.196,-0.174,0.000)  ori=(0.995,0.000,0.100,0.000)
0.220: pos=(0.215,-0.213,0.000)  ori=(0.994,0.000,0.110,0.000)
0.240: pos=(0.234,-0.255,0.000)  ori=(0.993,0.000,0.120,0.000)
0.260: pos=(0.252,-0.301,0.000)  ori=(0.992,0.000,0.130,0.000)
0.280: pos=(0.271,-0.350,0.000)  ori=(0.990,0.000,0.140,0.000)
0.300: pos=(0.290,-0.403,0.000)  ori=(0.989,0.000,0.149,0.000)
0.320: pos=(0.308,-0.460,0.000)  ori=(0.987,0.000,0.159,0.000)
0.340: pos=(0.327,-0.521,0.000)  ori=(0.986,0.000,0.169,0.000)
0.360: pos=(0.345,-0.585,0.000)  ori=(0.984,0.000,0.179,0.000)
0.380: pos=(0.363,-0.652,0.000)  ori=(0.982,0.000,0.189,0.000)
0.400: pos=(0.382,-0.724,0.000)  ori=(0.980,0.000,0.199,0.000)
0.420: pos=(0.400,-0.799,0.000)  ori=(0.978,0.000,0.208,0.000)
0.440: pos=(0.418,-0.877,0.000)  ori=(0.976,0.000,0.218,0.000)
0.460: pos=(0.436,-0.959,0.000)  ori=(0.974,0.000,0.228,0.000)
0.480: pos=(0.453,-1.044,0.000)  ori=(0.971,0.000,0.238,0.000)
0.500: pos=(0.471,-1.133,0.000)  ori=(0.969,0.000,0.247,0.000)
0.520: pos=(0.489,-1.226,0.000)  ori=(0.966,0.000,0.257,0.000)
0.540: pos=(0.506,-1.322,0.000)  ori=(0.964,0.000,0.267,0.000)
0.560: pos=(0.524,-1.421,0.000)  ori=(0.961,0.000,0.276,0.000)
0.580: pos=(0.541,-1.524,0.000)  ori=(0.958,0.000,0.286,0.000)
0.600: pos=(0.558,-1.630,0.000)  ori=(0.955,0.000,0.296,0.000)
0.620: pos=(0.576,-1.739,0.000)  ori=(0.952,0.000,0.305,0.000)
0.640: pos=(0.593,-1.852,0.000)  ori=(0.949,0.000,0.315,0.000)
0.660: pos=(0.610,-1.969,0.000)  ori=(0.946,0.000,0.324,0.000)
0.680: pos=(0.627,-2.088,0.000)  ori=(0.943,0.000,0.333,0.000)
0.700: pos=(0.644,-2.211,0.000)  ori=(0.939,0.000,0.343,0.000)
0.720: pos=(0.660,-2.338,0.000)  ori=(0.936,0.000,0.352,0.000)
0.740: pos=(0.677,-2.467,0.000)  ori=(0.932,0.000,0.362,0.000)
0.760: pos=(0.694,-2.600,0.000)  ori=(0.929,0.000,0.371,0.000)
0.780: pos=(0.710,-2.736,0.000)  ori=(0.925,0.000,0.380,0.000)
0.800: pos=(0.727,-2.876,0.000)  ori=(0.921,0.000,0.389,0.000)
0.820: pos=(0.743,-3.018,0.000)  ori=(0.917,0.000,0.399,0.000)
0.840: pos=(0.759,-3.164,0.000)  ori=(0.913,0.000,0.408,0.000)
0.860: pos=(0.776,-3.313,0.000)  ori=(0.909,0.000,0.417,0.000)
0.880: pos=(0.792,-3.465,0.000)  ori=(0.905,0.000,0.426,0.000)
